Cycle,Peptide_Count,Raft_Count,L_fraction,D_fraction
0,100,20,0.45,0.55
1,100,20,0.45,0.55
2,100,20,0.45,0.55
3,100,20,0.4,0.6
4,100,20,0.4,0.6
5,100,20,0.4,0.6
6,100,20,0.4,0.6
7,100,20,0.4,0.6
8,100,20,0.4,0.6
9,100,20,0.4,0.6
10,100,20,0.4,0.6
11,100,20,0.4,0.6
12,100,20,0.4,0.6
13,100,20,0.4,0.6
14,100,20,0.4,0.6
15,100,20,0.4,0.6
16,100,20,0.4,0.6
17,100,20,0.4,0.6
18,100,20,0.4,0.6
19,100,20,0.4,0.6
20,100,20,0.4,0.6
21,100,20,0.4,0.6
22,100,20,0.4,0.6
23,100,20,0.4,0.6
24,100,20,0.4,0.6
25,100,20,0.4,0.6
26,100,20,0.4,0.6
27,100,20,0.4,0.6
28,100,20,0.4,0.6
29,100,20,0.4,0.6
30,100,20,0.4,0.6
31,100,20,0.4,0.6
32,100,20,0.4,0.6
33,100,20,0.4,0.6
34,100,20,0.4,0.6
35,100,20,0.4,0.6
36,100,20,0.4,0.6
37,100,20,0.4,0.6
38,100,20,0.4,0.6
39,100,20,0.4,0.6
40,100,20,0.4,0.6
41,100,20,0.4,0.6
42,100,20,0.4,0.6
43,100,20,0.4,0.6
44,100,20,0.4,0.6
45,100,20,0.4,0.6
46,100,20,0.4,0.6
47,100,20,0.4,0.6
48,100,20,0.4,0.6
49,100,20,0.4,0.6
50,100,20,0.4,0.6
51,100,20,0.4,0.6
52,100,20,0.4,0.6
53,100,20,0.4,0.6
54,100,20,0.4,0.6
55,100,20,0.4,0.6
56,100,20,0.4,0.6
57,100,20,0.4,0.6
58,100,20,0.4,0.6
59,100,20,0.4,0.6
60,100,20,0.4,0.6
61,100,20,0.4,0.6
62,100,20,0.35,0.65
63,100,20,0.35,0.65
64,100,20,0.35,0.65
65,100,20,0.35,0.65
66,100,20,0.35,0.65
67,100,20,0.35,0.65
68,100,20,0.4,0.6
69,100,20,0.4,0.6
