Cycle,Peptide_Count,Membrane_Thickness,Raft_Count,L_fraction,D_fraction,With_Catalysis
0,100,3.0,20,0.0,1.0,True
1,100,3.0,20,0.0,1.0,True
2,100,3.0,20,0.0,1.0,True
3,100,3.0,20,0.0,1.0,True
4,100,3.0,20,0.0,1.0,True
5,100,3.0,20,0.0,1.0,True
6,100,3.0,20,0.0,1.0,True
7,100,3.0,20,0.0,1.0,True
8,100,3.0,20,0.0,1.0,True
9,100,3.0,20,0.0,1.0,True
10,100,3.0,20,0.0,1.0,True
11,100,3.0,20,0.0,1.0,True
12,100,3.0,20,0.0,1.0,True
13,100,3.0,20,0.0,1.0,True
14,100,3.0,20,0.0,1.0,True
15,100,3.0,20,0.0,1.0,True
16,100,3.0,20,0.0,1.0,True
17,100,3.0,20,0.0,1.0,True
18,100,3.0,20,0.0,1.0,True
19,100,3.0,20,0.0,1.0,True
20,100,3.0,20,0.0,1.0,True
21,100,3.0,20,0.0,1.0,True
22,100,3.0,20,0.0,1.0,True
23,100,3.0,20,0.0,1.0,True
24,100,3.0,20,0.0,1.0,True
25,100,3.0,20,0.0,1.0,True
26,100,3.0,20,0.0,1.0,True
27,100,3.0,20,0.0,1.0,True
28,100,3.0,20,0.0,1.0,True
29,100,3.0,20,0.0,1.0,True
30,100,3.0,20,0.0,1.0,True
31,100,3.0,20,0.0,1.0,True
32,100,3.0,20,0.0,1.0,True
33,100,3.0,20,0.0,1.0,True
34,100,3.0,20,0.0,1.0,True
35,100,3.0,20,0.0,1.0,True
36,100,3.0,20,0.0,1.0,True
37,100,3.0,20,0.0,1.0,True
38,100,3.0,20,0.0,1.0,True
39,100,3.0,20,0.0,1.0,True
40,100,3.0,20,0.0,1.0,True
41,100,3.0,20,0.0,1.0,True
42,100,3.0,20,0.0,1.0,True
43,100,3.0,20,0.0,1.0,True
44,100,3.0,20,0.0,1.0,True
45,100,3.0,20,0.0,1.0,True
46,100,3.0,20,0.0,1.0,True
47,100,3.0,20,0.0,1.0,True
48,100,3.0,20,0.0,1.0,True
49,100,3.0,20,0.0,1.0,True
50,100,3.0,20,0.0,1.0,True
51,100,3.0,20,0.0,1.0,True
52,100,3.0,20,0.0,1.0,True
53,100,3.0,20,0.0,1.0,True
54,100,3.0,20,0.0,1.0,True
55,100,3.0,20,0.0,1.0,True
56,100,3.0,20,0.0,1.0,True
57,100,3.0,20,0.0,1.0,True
58,100,3.0,20,0.0,1.0,True
59,100,3.0,20,0.0,1.0,True
60,100,3.0,20,0.0,1.0,True
61,100,3.0,20,0.0,1.0,True
62,100,3.0,20,0.0,1.0,True
63,100,3.0,20,0.0,1.0,True
64,100,3.0,20,0.0,1.0,True
65,100,3.0,20,0.0,1.0,True
66,100,3.0,20,0.0,1.0,True
67,100,3.0,20,0.0,1.0,True
68,100,3.0,20,0.0,1.0,True
69,100,3.0,20,0.0,1.0,True
70,100,3.0,20,0.0,1.0,True
71,100,3.0,20,0.0,1.0,True
72,100,3.0,20,0.0,1.0,True
73,100,3.0,20,0.0,1.0,True
74,100,3.0,20,0.0,1.0,True
75,100,3.0,20,0.0,1.0,True
76,100,3.0,20,0.0,1.0,True
77,100,3.0,20,0.0,1.0,True
78,100,3.0,20,0.0,1.0,True
79,100,3.0,20,0.0,1.0,True
80,100,3.0,20,0.0,1.0,True
81,100,3.0,20,0.0,1.0,True
82,100,3.0,20,0.0,1.0,True
83,100,3.0,20,0.0,1.0,True
84,100,3.0,20,0.0,1.0,True
85,100,3.0,20,0.0,1.0,True
86,100,3.0,20,0.0,1.0,True
87,100,3.0,20,0.0,1.0,True
88,100,3.0,20,0.0,1.0,True
89,100,3.0,20,0.0,1.0,True
90,100,3.0,20,0.0,1.0,True
91,100,3.0,20,0.0,1.0,True
92,100,3.0,20,0.0,1.0,True
93,100,3.0,20,0.0,1.0,True
94,100,3.0,20,0.0,1.0,True
95,100,3.0,20,0.0,1.0,True
96,100,3.0,20,0.0,1.0,True
97,100,3.0,20,0.0,1.0,True
98,100,3.0,20,0.0,1.0,True
99,100,3.0,20,0.0,1.0,True
100,100,3.0,20,0.0,1.0,True
101,100,3.0,20,0.0,1.0,True
102,100,3.0,20,0.0,1.0,True
103,100,3.0,20,0.0,1.0,True
104,100,3.0,20,0.0,1.0,True
105,100,3.0,20,0.0,1.0,True
106,100,3.0,20,0.0,1.0,True
107,100,3.0,20,0.0,1.0,True
108,100,3.0,20,0.0,1.0,True
109,100,3.0,20,0.0,1.0,True
110,100,3.0,20,0.0,1.0,True
111,100,3.0,20,0.0,1.0,True
112,100,3.0,20,0.0,1.0,True
113,100,3.0,20,0.0,1.0,True
114,100,3.0,20,0.0,1.0,True
115,100,3.0,20,0.0,1.0,True
116,100,3.0,20,0.0,1.0,True
117,100,3.0,20,0.0,1.0,True
118,100,3.0,20,0.0,1.0,True
119,100,3.0,20,0.0,1.0,True
120,100,3.0,20,0.0,1.0,True
121,100,3.0,20,0.0,1.0,True
122,100,3.0,20,0.0,1.0,True
123,100,3.0,20,0.0,1.0,True
124,100,3.0,20,0.0,1.0,True
125,100,3.0,20,0.0,1.0,True
126,100,3.0,20,0.0,1.0,True
127,100,3.0,20,0.0,1.0,True
128,100,3.0,20,0.0,1.0,True
129,100,3.0,20,0.0,1.0,True
130,100,3.0,20,0.0,1.0,True
131,100,3.0,20,0.0,1.0,True
132,100,3.0,20,0.0,1.0,True
133,100,3.0,20,0.0,1.0,True
